Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.834753,-6.435716858,16.84851334,9.075926514,20.19067347
2.844563,-5.611830139,16.15650238,8.758287048,19.21543126
2.854372,-4.801415405,15.28112274,8.482560425,18.12512437
2.864182,-4.051025848,14.13166306,8.241561584,16.85342839
2.873993,-3.467090149,12.86709274,8.142916718,15.61697418
2.883802,-2.893782349,11.63515457,8.131240997,14.4868174
2.893601,-2.419119415,10.40486298,8.089477844,13.39973746
2.90342,-2.072889404,9.373956757,8.04906189,12.52818155
2.913229,-1.876946869,8.588989105,8.019872589,11.90008486
2.923038,-1.752854919,8.035889282,7.790250092,11.3285486
2.932847,-1.65211441,7.531138916,7.418273621,10.69945414
2.942655,-1.512155457,7.064259796,6.845115509,9.952185033
2.952465,-1.452579346,6.619983673,6.128106537,9.137169163
2.962274,-1.441801758,6.264472961,5.345982971,8.360738467
2.972083,-1.428180084,5.948330383,4.609215088,7.659451444
2.98189,-1.47548172,5.528154144,3.985462189,6.972907816
2.991699,-1.645827484,5.41394165,3.628753967,6.722154986
3.001507,-1.953886871,5.690716095,3.360661469,6.891731937
3.011316,-2.115251312,5.740562439,2.887944489,6.76524712
3.021124,-1.955683136,5.379213867,2.412233734,6.211240612
3.030933,-1.657952271,5.116360474,2.03831131,5.751579194
3.040742,-1.71648056,5.328918457,1.781894531,5.875272381
3.050551,-2.092798004,5.764662323,1.81243103,6.395001284
3.06036,-2.168839874,5.909261627,1.835034027,6.556720923
3.070167,-1.974543915,5.68308197,1.558259583,6.214854566
3.079979,-1.576521606,5.175936584,1.099613342,5.52131229
3.089791,-1.262025604,4.452640686,0.420176239,4.647070666
3.099601,-0.966240692,3.537593536,-0.210013275,3.673185903
3.10941,-0.903670807,2.708467712,-0.702788544,2.940464251
3.119219,-1.113684082,2.091450806,-0.903521118,2.535904004
3.129027,-1.502725067,1.691183167,-0.826730804,2.408685731
3.138838,-2.1061203,1.482068024,-0.587228851,2.641421222
3.148646,-2.870430908,1.255439301,-0.139509888,3.136074687
3.158455,-3.575464783,1.170266418,0.193996582,3.767108517
3.168264,-4.405638428,1.466799774,0.550704803,4.675941329
3.178072,-5.249583435,2.139949951,1.108444977,5.776345064
3.18788,-5.791007538,2.801125031,1.564247131,6.620342803
3.197686,-6.015839996,3.200344849,1.774260406,7.0413449
3.207498,-6.140530701,3.456611938,2.11195816,7.356266081
3.217306,-6.059549103,3.965104523,2.599344635,7.693944485
3.227114,-6.084547119,5.194647675,3.15693512,8.600716101
3.236922,-6.126759338,6.721472626,3.880979462,9.888244325
3.24673,-6.286776581,7.941286011,4.612657928,11.1294293
3.256539,-6.384523315,8.494086456,5.184019775,11.82310043
3.266347,-6.080505524,8.476273499,5.344785461,11.72119838
3.276153,-5.775290222,8.34035614,5.201233978,11.40036634
3.285961,-5.408702545,8.54048996,4.917124786,11.24153673
3.29577,-4.742887115,8.974138184,4.565505981,11.12986879
3.305578,-4.251159668,9.445957031,4.018693085,11.11073161
3.315386,-3.787424011,9.837542725,3.457809448,11.0940648
3.325193,-3.363655243,10.13063324,3.146007843,11.12839934
3.335002,-3.113974457,10.37148239,3.272195435,11.31245981
3.344811,-3.073558502,10.77953384,3.686234436,11.79972186
3.354619,-3.177442474,11.40927429,4.319866791,12.60670177
3.36443,-3.397634583,12.12688202,5.137466583,13.6014246
3.374235,-3.744163971,12.87532562,6.004763031,14.69183286
3.384048,-4.263284454,13.7528009,7.061864777,16.0369904
3.393858,-4.515210571,14.27686111,8.106242981,17.02724479
3.403667,-4.548890533,14.80346603,9.0482341,17.9361521
3.413475,-4.480183411,15.34189636,9.792037354,18.74379425
3.423284,-4.208348694,15.85577774,10.07719437,19.25268118
3.433093,-3.706741791,15.7009996,10.25143204,19.11421414
3.442902,-3.167712708,14.99027756,10.20607635,18.40942203
3.452712,-2.729873199,13.95772476,10.15398468,17.47494472
